international_bank_bik;international_bank_name;bank_name;city;country_id;address
AACIFRP1;ABN AMRO COMMUNICATIONS INTERNATIONALES;ABN AMRO COMMUNICATIONS INTERNATIONALES;PARIS;FR;75008 PARIS, 3, AVENUE HOCHE
AACLZAJJ;ANGLO AMERICAN SA FINANCE LIMITED;ANGLO AMERICAN SA FINANCE LIMITED;JOHANNESBURG;ZA;JOHANNESBURG,
AACMUS41;AAM COMPANY;AAM COMPANY;CHICAGO,IL;US;CHICAGO,IL 60602, 30 N LASALLE ST
AACNGB21;ABN AMRO CORPORATE FINANCE LIMITED;ABN AMRO CORPORATE FINANCE LIMITED;LONDON;GB;LONDON EC2M 4AA, 250 BISHOPGATE
AACOUS31;AMBAC ASSURANCE CORPORATION;AMBAC ASSURANCE CORPORATION;NEW YORK,NY;US;NEW YORK,NY 10004, ONE STATE STREET PLAZA
AACRECE1;CAJA DE AHORRO Y CREDITO NUESTRA SENORA DE LA MERCED;CAJA DE AHORRO Y CREDITO NUESTRA SENORA DE LA MERCED;OLMEDO;EC;OLMEDO, CENTRO DE OLMEDO,CALLES ISIDRO
AACSDE33;SPARKASSE AACHEN;SPARKASSE AACHEN;AACHEN;DE;AACHEN,
AACUECE1;CAJA DE AHORRO Y CREDITO MANU;CAJA DE AHORRO Y CREDITO MANU;SARAGURO;EC;SARAGURO, SUCRE Y 15 DE AGOSTO
AADAIT21;CAD IT SPA;CAD IT SPA;VERONA;IT;37136 VERONA, VIA TORRICELLI 44/A
AAEAFRP1;ABC ARBITRAGE ASSET MANAGEMENT;ABC ARBITRAGE ASSET MANAGEMENT;PARIS;FR;75002 PARIS, 40 RUE NOTRE-DAME DES VICTOIRES
AAEMNL21;ANTHOS ASSET MANAGEMENT B.V.;ANTHOS ASSET MANAGEMENT B.V.;AMSTERDAM;NL;1008 AB AMSTERDAM, JACHTHAVENWEG 111
AAESBGS1;ASTRA ASSET MANAGEMENT JSC;ASTRA ASSET MANAGEMENT JSC;SOFIA;BG;1303 SOFIA, SREDNA GORA STR. 49
AAFAFRP1;AAZ FINANCES SA;AAZ FINANCES SA;PARIS;FR;75008 PARIS, 8, RUE DE L'ARCADE
AAFFFRP1;ABN AMRO FUTURES FRANCE;ABN AMRO FUTURES FRANCE;PARIS;FR;75388 PARIS CEDEX 08, 40 RUE DE COURCELLES
AAFMGB21;ABN AMRO FUND MANAGERS LIMITED;ABN AMRO FUND MANAGERS LIMITED;LONDON;GB;LONDON EC2N 4BN, 82 BISHOPSGATE
AAFNFRP1;ABN AMRO FIXED INCOME FRANCE;ABN AMRO FIXED INCOME FRANCE;PARIS;FR;75008 PARIS, 40 RUE DE COURCELLES
AAGOCHZ1;UBS CARD CENTER AG;UBS CARD CENTER AG;GLATTBRUGG;CH;8001 GLATTBRUGG, FLUGHOFSTRASSE 35
AAGSIT21;ALPE ADRIA GESTIONI SIM;ALPE ADRIA GESTIONI SIM;PORDENONE;IT;PORDENONE, CSO V EMANUELE II 20B
AAHOGB21;ABN AMRO HOARE GOVETT SECURITIES;ABN AMRO HOARE GOVETT SECURITIES;LONDON;GB;LONDON EC2M 7LE, 4 BROADGATE
AAHTHUH1;K AND H EQUITIES TANACSADO ZARTKOER EN M KOED RESZVENYTARSASAG;K AND H EQUITIES TANACSADO ZARTKOER EN M KOED RESZVENYTARSASAG;BUDAPEST;HU;BUDAPEST 1051, VIGADO TER 1.
AAHVGB21;ABN AMRO HOARE GOVETT CORPORATE FINANCE LTD.;ABN AMRO HOARE GOVETT CORPORATE FINANCE LTD.;LONDON;GB;LONDON EC2M 7LE, 4 BROADGATE
AAIAATW1;AIBC ANGLO IRISH BANK (AUSTRIA) KAPITALANLAGEGESELLSCHAFT M.B.H.;AIBC ANGLO IRISH BANK (AUSTRIA) KAPITALANLAGEGESELLSCHAFT M.B.H.;VIENNA;AT;VIENNA 1010, RATHAUSSTRASSE 20
AAILLUL1;ASPECTA ASSURANCE INTERNATIONAL LUXEMBOURG S.A.;ASPECTA ASSURANCE INTERNATIONAL LUXEMBOURG S.A.;LUXEMBOURG;LU;2453 LUXEMBOURG, 5, RUE EUGENE RUPPERT
AAIOIT21;AUTO ABS ITALIAN LOANS MASTER S.R.L.;AUTO ABS ITALIAN LOANS MASTER S.R.L.;CONEGLIANO;IT;31015 CONEGLIANO, VIA V. ALFIERI 1
AAKFSEM1;AARHUSKARLSHAMN FINANCE AB;AARHUSKARLSHAMN FINANCE AB;MALMO;SE;211 19 MALMO, WORLD TRADE CENTER
AAKRDK22;KREDITBANKEN A/S;KREDITBANKEN A/S;AABENRAA;DK;6200 AABENRAA, H P HANSSENS GADE 17
AALBNL22;AALBERTS INDUSTRIES N.V.;AALBERTS INDUSTRIES N.V.;LANGBROEK;NL;3947 CS LANGBROEK, SANDENBURGERLAAN 4
AALEFR22;ALE INTERNATIONAL;ALE INTERNATIONAL;COLOMBES;FR;92700 COLOMBES, 32 AVENUE KLEBER
AAMAESMM;ANDBANK WEALTH MANAGEMENT SGIIC SA;ANDBANK WEALTH MANAGEMENT SGIIC SA;MADRID;ES;28046 MADRID, PASEO DE LA CASTELLANA 55
AAMALULL;ANDBANK ASSET MANAGEMENT LUXEMBOURG;ANDBANK ASSET MANAGEMENT LUXEMBOURG;LUXEMBOURG;LU;2557 LUXEMBOURG, ROBERT STUMPER 7A
AAMBSGS1;ASIAN-AMERICAN MERCHANT BANK LTD.;ASIAN-AMERICAN MERCHANT BANK LTD.;SINGAPORE;SG;SINGAPORE 079120, 78 SHENTON WAY
AAMCUS41;ATTUCKS ASSET MANAGEMENT, LLC;ATTUCKS ASSET MANAGEMENT, LLC;CHICAGO,IL;US;CHICAGO,IL 60606, 200 WEST MADISON
AAMDTRI1;ALI ALPAY MENKUL DEGERLER;ALI ALPAY MENKUL DEGERLER;ISTANBUL;TR;ISTANBUL, RIHTIM CADDESI 245 KARAKOY
AAMEBGS1;ALFA ASSET MANAGEMENT EAD;ALFA ASSET MANAGEMENT EAD;SOFIA;BG;1504 SOFIA, 7 SHEINOVO STR.
AAMFSES1;ARCHIPEL ASSET MANAGEMENT AB FOR THE FUND ARCHIPEL;ARCHIPEL ASSET MANAGEMENT AB FOR THE FUND ARCHIPEL;STOCKHOLM;SE;10386 STOCKHOLM, NORRMALMSTORG 14
AAMGDE2H;TALANX ASSET MANAGEMENT GMBH;TALANX ASSET MANAGEMENT GMBH;KOELN;DE;50679 KOELN, CHARLES-DE-GAULLE-PLATZ 1
AAMISEG1;ABILITY ASSET MANAGEMENT SCANDINAVIA;ABILITY ASSET MANAGEMENT SCANDINAVIA;GOTEBORG;SE;411 04 GOTEBORG, LILLA BOMMEN 1
AAMJBGS1;ACTIVA ASSET MANAGEMENT JSC;ACTIVA ASSET MANAGEMENT JSC;SOFIA;BG;1592 SOFIA, 43 CHRISTOPHER COLUMBUS BLVD.
AAMLLUL1;ATAG ASSET MANAGEMENT (LUXEMBOURG) S.A.;ATAG ASSET MANAGEMENT (LUXEMBOURG) S.A.;LUXEMBOURG;LU;1528 LUXEMBOURG, 8 BOULEVARD DE LA FOIRE
AAMMNL21;ANDROPAN ASSET MANAGEMENT B.V.;ANDROPAN ASSET MANAGEMENT B.V.;AMSTERDAM;NL;1016 BS AMSTERDAM, HERENGRACHT, 206-216
AAMNAU21;ADVANCE ASSET MANAGEMENT LIMITED;ADVANCE ASSET MANAGEMENT LIMITED;SYDNEY;AU;SYDNEY 2000, 182 GEORGE STREET
AAMOOMR1;AL AHLIA ASSET MGT CO. (SAOC);AL AHLIA ASSET MGT CO. (SAOC);RUWI;OM;RUWI,
AAMPSKB1;ALLIANZ ASSET MANAGEMENT, SPRAV. SPOL.,A.S.;ALLIANZ ASSET MANAGEMENT, SPRAV. SPOL.,A.S.;BRATISLAVA;SK;831 02 BRATISLAVA, RACIANSKA 62
AAMRFRP1;ALTIVIE ASSET MANAGEMENT DU GROUPE ALTIVIE SA;ALTIVIE ASSET MANAGEMENT DU GROUPE ALTIVIE SA;PARIS;FR;75017 PARIS, 141 AVENUE DE WAGRAM
AAMSUS31;ARNOLD AND S. BLEICHROEDER ADVISORS, LLC;ARNOLD AND S. BLEICHROEDER ADVISORS, LLC;NEW YORK,NY;US;NEW YORK,NY 10105, 1345 AVENUE OF THE AMERICAS
AAMUCHG1;ALPEN ASSET MANAGEMENT TRUST SARL;ALPEN ASSET MANAGEMENT TRUST SARL;GENEVA;CH;1204 GENEVA, RUE DU RHONE 14
AAMVCZ21;ATLANTIK ASSET MANAGEMENT INVESTICNI SPOLECNOST,A.S;ATLANTIK ASSET MANAGEMENT INVESTICNI SPOLECNOST,A.S;BRNO;CZ;BRNO, HILLEHO 1843/6
AANAFRP1;AMUNDI ALTERNATIVE INVESTMENTS SAS;AMUNDI ALTERNATIVE INVESTMENTS SAS;PARIS;FR;75015 PARIS, 90 BOULEVARD PASTEUR
AANCUS31;XARAF MANAGEMENT LLC;XARAF MANAGEMENT LLC;GREENWICH,CT;US;GREENWICH,CT 06836, 2 AMERICAN LANE
AANLGB21;ALKEN ASSET MANAGEMENT;ALKEN ASSET MANAGEMENT;LONDON;GB;LONDON W1S 2GB, 61 CONDUIT STREET
AANLGB31;ALKEN ASSET MANAGEMENT;ALKEN ASSET MANAGEMENT;LONDON;GB;LONDON W1S 2GB, 61 CONDUIT STREET
AANSNO21;ACTA ASSET MANAGEMENT ASA;ACTA ASSET MANAGEMENT ASA;STAVANGER;NO;STAVANGER, BOREHAUGEN 1
AAOAIT21;CARRARO;CARRARO;CAMPODARSEGO;IT;35011 CAMPODARSEGO, VIA OLMO 37
AAOGGB21;ABN AMRO HOARE GOVETT LIMITED;ABN AMRO HOARE GOVETT LIMITED;LONDON;GB;LONDON EC2M 4AA, 250 BISHOPSGATE
AAPEGB21;AAC CAPITAL PARTNERS LIMITED;AAC CAPITAL PARTNERS LIMITED;LONDON;GB;LONDON EC2V 8AE, 1 CAREY LANE
AAPLIT21;ALBA 8 SPV S.R.L.;ALBA 8 SPV S.R.L.;CONEGLIANO;IT;31015 CONEGLIANO, VIA V. ALFIERI 1
AAPRIT21;ALBA 7 SPV SRL;ALBA 7 SPV SRL;CONEGLIANO;IT;31015 CONEGLIANO, 1 VIA VITTORIO ALFIERI
AAPSIT21;ALBA 6 SPV S.R.L.;ALBA 6 SPV S.R.L.;CONEGLIANO;IT;31015 CONEGLIANO, VIA VITTORIO ALFIERI 1
AAPUGB21;ABBOTSTONE AGRICULTURAL PROPERTY UNIT TRUST;ABBOTSTONE AGRICULTURAL PROPERTY UNIT TRUST;LONDON;GB;LONDON EC2M 3XY, 155 BISHOPSGATE
AAQIGB21;ABN AMRO QUOTED INVESTMENTS (UK) LIMITED;ABN AMRO QUOTED INVESTMENTS (UK) LIMITED;LONDON;GB;LONDON EC2M 3XW, 199 BISHOPSGATE
AARADE31;ASSEKURATA ASSEKURANZ RATING AGENTUR GMBH;ASSEKURATA ASSEKURANZ RATING AGENTUR GMBH;KOELN;DE;50823 KOELN, VENLOERSTRASSE 301 303
AARBBEB1;AAREAL BANK AG;AAREAL BANK AG;BRUSSELS;BE;1040 BRUSSELS, 7 RUE GUIMARD
AARBDE5W;AAREAL BANK AG;AAREAL BANK AG;BERLIN;DE;10719 BERLIN, KURFURSTENDAMM 33
AARBESM1;AAREAL BANK AG;AAREAL BANK AG;MADRID;ES;28004 MADRID, PASEO DE LA CASTELLANA 60 - 4D
AARBFRP1;AAREAL BANK AG, PARIS BRANCH;AAREAL BANK AG, PARIS BRANCH;PARIS;FR;75008 PARIS, 29 BIS, RUE D'ASTORG
AARBIE21;AAREAL BANK AG, DUBLIN BRANCH;AAREAL BANK AG, DUBLIN BRANCH;DUBLIN;IE;DUBLIN, 4 CUSTOM HOUSE PLAZA
AARBITR1;AAREAL BANK AG, ROMA BRANCH;AAREAL BANK AG, ROMA BRANCH;ROMA;IT;00198 ROMA, VIA MERCADANTE 12/14
AARCFRP1;CARCO;CARCO;PARIS;FR;75001 PARIS, 15 AVENUE DE L'OPERA
AARFECE1;CAJA DE AHORRO Y CREDITO FRANCISCA CHIGUA;CAJA DE AHORRO Y CREDITO FRANCISCA CHIGUA;ESPINDOLA;EC;ESPINDOLA, Y DEL CASTILLO
AARIDE61;SCHRODER PROPERTY KAPITALANLAGEGESELLSCHAFT MBH;SCHRODER PROPERTY KAPITALANLAGEGESELLSCHAFT MBH;WIESBADEN;DE;65189 WIESBADEN, WILHELMSTRASSE 7
AARMYESA;AL-AMAL MICROFINANCE BANK (AMB);AL-AMAL MICROFINANCE BANK (AMB);SANAA;YE;SANAA, ALAMANAH COMMERCIAL COMPLEX
AARNECE1;CAJA DE AHORRO Y CREDITO SAN FRANCISCO;CAJA DE AHORRO Y CREDITO SAN FRANCISCO;GONZANAMA;EC;GONZANAMA, BARRIO BERNARDO OCHOA Y SIMON
AAROECE1;CAJA DE AHORRO Y CREDITO FRONTERA SUR;CAJA DE AHORRO Y CREDITO FRONTERA SUR;GONZANAMA;EC;GONZANAMA, NAMBACOLA-GONZANAMA
AARRECE1;CAJA DE AHORRO Y CREDITO ORIENTE;CAJA DE AHORRO Y CREDITO ORIENTE;EL COCA;EC;EL COCA, SAN CARLOS
AARUGB21;1ST ALLIANCE (AYRSHIRE) CREDIT UNION LIMITED;1ST ALLIANCE (AYRSHIRE) CREDIT UNION LIMITED;KILWINNING;GB;KILWINNING KA136EQ, 147 MAIN STREET
AASANO21;AASEN SPAREBANK;AASEN SPAREBANK;ASEN;NO;7630 ASEN,
AASBBRS1;ABN AMRO SECURITIES (BRASIL) CORRETORA DE VALORES MOBILIARIOS SA;ABN AMRO SECURITIES (BRASIL) CORRETORA DE VALORES MOBILIARIOS SA;SAO PAULO;BR;04179-002 SAO PAULO, AVENIDA PAULISTA 1 374
AASCSKB1;AMSLICO AIG SECURITIES O.C.P, A.S.;AMSLICO AIG SECURITIES O.C.P, A.S.;BRATISLAVA;SK;81102 BRATISLAVA, HVIEZDOSLAVOVO NAMESTIE 20
AASFFRP1;AGRIFIGEST-ALMA-SOCIETE FINANCIERE ET AGRICOLE DE GESTION;AGRIFIGEST-ALMA-SOCIETE FINANCIERE ET AGRICOLE DE GESTION;PARIS;FR;75116 PARIS, 23 AVENUE DE NEUILLY
AASHMUM1;AFRICAN ALLIANCE STOCKBROKING HOLDINGS LIMITED;AFRICAN ALLIANCE STOCKBROKING HOLDINGS LIMITED;CYBER CITY;MU;CYBER CITY, EBENE HEIGHTS
AASLSG21;THE ROYAL BANK OF SCOTLAND ASIA SECURITIES (SINGAPORE) PTE LIMITED;THE ROYAL BANK OF SCOTLAND ASIA SECURITIES (SINGAPORE) PTE LIMITED;SINGAPORE;SG;SINGAPORE, SOUTH TOWER
AASMDKK1;ABN AMRO ASSET MANAGEMENT A/S;ABN AMRO ASSET MANAGEMENT A/S;COPENHAGEN;DK;1256 COPENHAGEN, AMELIEGADE 35
AASOROB1;RBS SECURITIES (ROMANIA) S.A.;RBS SECURITIES (ROMANIA) S.A.;BUCHAREST;RO;BUCHAREST, PIATA MONTREAL NR. 10
AASQPHM1;AAA SOUTHEAST EQUITIES INC.;AAA SOUTHEAST EQUITIES INC.;MANILA;PH;MANILA, FORTUNE LIFE BUILDING
AASRDZA1;CAISSE ALGERIENNE D'ASSURANCE ET DE REASSURANCE;CAISSE ALGERIENNE D'ASSURANCE ET DE REASSURANCE;ALGIERS;DZ;ALGIERS, 48 RUE DICOUCHE MOURRAD
AASSPHM1;ALL ASIA SECURITIES MANAGEMENT CORP.;ALL ASIA SECURITIES MANAGEMENT CORP.;MANILA;PH;MANILA, ALL ASIA CENTRE
AASVIND1;AADHAR SECURITIES PRIVATE LIMITED;AADHAR SECURITIES PRIVATE LIMITED;NEW DELHI;IN;NEW DELHI 110065, 32, COMMUNITY CENTER
AATAATW1;AIRPLUS AIR TRAVEL CARD VERTRIEBSGESELLSCHAFT M.B.;AIRPLUS AIR TRAVEL CARD VERTRIEBSGESELLSCHAFT M.B.;VIENNA;AT;VIENNA 1010, RAINERGASSE 1
AATTITG1;ANSALDO STS SPA;ANSALDO STS SPA;GENOVA;IT;16151 GENOVA, VIA PAOLO MANTOVANI 3/5
AAVLCLR9;AFEX AGENTES DE VALORES LIMITADA;AFEX AGENTES DE VALORES LIMITADA;SANTIAGO;CL;7550143 SANTIAGO, BURGOS 80
AAVPFR21;A.V.I.P. - ASSURANCE VIE ET PREVOYANCE SA;A.V.I.P. - ASSURANCE VIE ET PREVOYANCE SA;COURBEVOIE;FR;92400 COURBEVOIE, TOUR NEPTUNE
AAVSIT21;AGAVE SPV S.R.L.;AGAVE SPV S.R.L.;CONEGLIANO;IT;31015 CONEGLIANO, VIA V. ALFIERI 1
AAVULUL1;AXA ASSURANCE VIE LUXEMBOURG SA;AXA ASSURANCE VIE LUXEMBOURG SA;LUXEMBOURG;LU;1325 LUXEMBOURG, 7 RUE DE LA CHAPELLE
ABAAKHPP;ADVANCED BANK OF ASIA LIMITED;ADVANCED BANK OF ASIA LIMITED;PHNOM PENH;KH;12302 PHNOM PENH, 148 PREAH SIHANOUK BLVD.
ABABESM1; A.B. ASESORES BURSATILES BOLSA, SA, S.V.B.; A.B. ASESORES BURSATILES BOLSA, SA, S.V.B.;MADRID;ES;28014 MADRID,  PLAZA DE LA LEALTAD, 3-3O
ABAEPHM1;ABACUS SECURITIES CORPORATION;ABACUS SECURITIES CORPORATION;MANILA;PH;1600 MANILA, PHILIPPINE STOCK EXCHANGE CENTRE
ABAIUS31;ABERDEEN AMERICA INC.;ABERDEEN AMERICA INC.;BOSTON,MA;US;BOSTON,MA 02109, 10 UNION WHARF
ABALIDBS;PT. BANK PEMBANGUNAN DAERAH BALI;PT. BANK PEMBANGUNAN DAERAH BALI;DENPASAR;ID;80235 DENPASAR, BANK BPD BALI
ABAMESM1;ABN-AMRO, S.A. S.V.B.;ABN-AMRO, S.A. S.V.B.;MADRID;ES;28006 MADRID, CALLE SERRANO 55
ABANSI2X;ABANKA D.D.;ABANKA D.D.;LJUBLJANA;SI;1000 LJUBLJANA, SLOVENSKA CESTA 58
ABAOAU41;MORGANS FINANCIAL LIMITED;MORGANS FINANCIAL LIMITED;BRISBANE;AU;BRISBANE,
ABAPIE21;ABBEY CAPITAL LTD;ABBEY CAPITAL LTD;DUBLIN;IE;DUBLIN 1, 1-2 CAVENDISH ROW
ABATBSN1;ALLIANCE BANK AND TRUST;ALLIANCE BANK AND TRUST;NASSAU;BS;NASSAU, PROVIDENCE HOUSE
ABAVGB21;ABERDEEN ASSET INVESTMENTS LIMITED;ABERDEEN ASSET INVESTMENTS LIMITED;LONDON;GB;LONDON EC4M 9HH, BOW BELLS HOUSE
ABAXFRP1;ABAXBOURSE;ABAXBOURSE;PARIS;FR;75008 PARIS, 21 BOULEVARD DE LA MADELEINE
ABAYETAA;ABAY BANK S.C.;ABAY BANK S.C.;ADDIS ABEBA;ET;5887 ADDIS ABEBA, ZIQUAL COMPLEX
ABAZGB21;ABN AMRO MEZZANINE (UK) LIMITED;ABN AMRO MEZZANINE (UK) LIMITED;LONDON;GB;LONDON EC2M 3XW, 199 BISHOPSGATE
ABBAZMLU;AB BANK ZAMBIA LTD.;AB BANK ZAMBIA LTD.;LUSAKA;ZM;10101 LUSAKA, STAND 7393
ABBCCHZA;ABB CAPITAL B.V., ZURICH BRANCH;ABB CAPITAL B.V., ZURICH BRANCH;ZURICH;CH;8050 ZURICH, AFFOLTERNSTRASSE 44
ABBCCHZZ;ABB CAPITAL B.V., ZURICH BRANCH;ABB CAPITAL B.V., ZURICH BRANCH;ZURICH;CH;8050 ZURICH, AFFOLTERNSTRASSE 44
ABBCNL2A;ABB FINANCE B.V.;ABB FINANCE B.V.;ROTTERDAM;NL;3068 AX ROTTERDAM, GEORGE HINTZENWEG 81
ABBEGB21;ABBEY LIFE;ABBEY LIFE;BOURNEMOUTH;GB;BOURNEMOUTH BH8 8AL, 100 HOLDENHURST ROAD
ABBFSES1;ABB AROS FONDKOMMISSION AB;ABB AROS FONDKOMMISSION AB;STOCKHOLM;SE;STOCKHOLM, NYBROKAJEN 15
ABBGBHBM;ALBARAKA BANKING GROUP;ALBARAKA BANKING GROUP;MANAMA;BH;1882 MANAMA, AL BARAKA HEADQUARTERS
ABBKVNVX;AN BINH COMMERCIAL JOINT STOCK BANK;AN BINH COMMERCIAL JOINT STOCK BANK;HO CHI MINH CITY;VN;70000 HO CHI MINH CITY, 170 HAI BA TRUNG
ABBLBDDH;AB BANK LIMITED;AB BANK LIMITED;DHAKA;BD;DHAKA, 102, KAZI NAZRUL ISLAM AVENUE
ABBLINBB;AB BANK LIMITED;AB BANK LIMITED;MUMBAI;IN;MUMBAI 400020, LIBERTY BUILDING
ABBMMAMC;AL BARID BANK;AL BARID BANK;RABAT;MA;10000 RABAT, SIEGE DE BARID AL MAGHRID
ABBNCWC1;ABB INVESTMENT N.V.;ABB INVESTMENT N.V.;WILLEMSTAD;CW;WILLEMSTAD, PIETERWAAIPLEIN 19
ABBOFIH1;AROS SECURITIES OY;AROS SECURITIES OY;HELSINKI;FI;00100 HELSINKI, KAIVOKATU 8
ABBRRWRW;AB BANK RWANDA LTD.;AB BANK RWANDA LTD.;KIGALI;RW;671 KIGALI, AVENUE DE LA NYABARONGO, NYAMIRAMBO
ABBVUS44;ABBVIE, INC.;ABBVIE, INC.;CHICAGO,IL;US;CHICAGO,IL 60064, 1 NORTH WAUKEGAN ROAD D-0312
ABBYGB2L;SANTANDER UK PLC;SANTANDER UK PLC;LONDON;GB;LONDON E1 8AD, 21 PRESCOT STREET
ABBYGB3E;SANTANDER UK PLC;SANTANDER UK PLC;LONDON;GB;LONDON,
