account_id;amount;beneficiary_name;beneficiary_tax_code;beneficiary_account;beneficiary_bank_code;RESIDENCY_ECONOMIC_CODE;VALUE_DATE;payment_purpose_code_id;purpose;id
KZ75125USD2069101101;80000.00;Bayerische Motoren Werke AG;981140001115;DE89370400440532013000;AAAARSBG;11;2017-01-12;995;Оплата за поставку автомобилей из Германии;12/3I
KZ75125KZT2069101100;11000.00;;;;;;2017-01-18;979;перевод валюты со счета на счет;12/4A
KZ75125KZT2069101100;12000.00;;;;;;2017-01-19;979;перевод валюты со счета на счет1;12/5A
KZ75125KZT2069100100;12000.00;;;KZ2342342342323;;;2017-01-19;979;перевод валюты со счета на счет1;12/6E
KZ75125USD2069100102;12000.00;;;324234234234342;;;2017-01-19;979;перевод валюты со счета на счет1;12/7E
KZ75125KZT2069100106;12000.00;;;12342134234;;;2017-01-19;979;перевод валюты со счета на счет1;12/8E
KZ75125KZT2069101100;12000.00;;;213423423423423;;;2017-01-19;979;перевод валюты со счета на счет1;12/9E
KZ75125USD2069101101;12000.00;;;KZ2342342342323;;;2017-01-19;979;перевод валюты со счета на счет1;12/10E
KZ75125USD2069101101;12000.00;;;321423421341234;;;2017-01-19;979;перевод валюты со счета на счет1;12/11E
KZ75125USD2069100102;12000.00;;;2351613613634;;;2017-01-19;979;перевод валюты со счета на счет1;12/12E
KZ75125KZT2069100100;45;;;;;;null;012;Предоплата по догвору 22/45-45;11/13inv
null;156;;;;;;null;979;Оплата за товары;11/14inv
null;156;;;;;;null;008;Консалтинговые услуги;11/15inv
null;222;;;;;;null;995;Пеня;11/16inv
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Социальное отчисление возврат;17/2D
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Социальное отчисление возврат;17/24D
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по зарплатному отчислению;11/1FF
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1ZE
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1GE
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1JE
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1KE
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1LE
KZ75125KZT2069100104;1.00;НАО Гос. корпораци11/1UEя "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1ME
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1WE
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1VE
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1UE
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;12/1UE
KZ75125KZT2069100104;1.00;НАО Гос. корпорация "Правительство для граждан";160440007161;KZ67009SS00368609110;GCVPKZ2A;11;2017-03-15;979;Возврат по пенсионному отчислению;11/1OE
