id_1;login;user_password;salt;is_deleted;is_locked;short_name;user_position;phone;email;password_expiry;first_name;last_name;middle_name;is_force_password_change;iin
12;oks;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Иванова О.К.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;841101300680
13;lex2;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Грант У.С.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;841101300680
14;lex3;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Грант У.В.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;841101300680
15;lex4;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Грант У.А.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;841101300680
16;aa;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;0;0;Айзенберг А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;841101300680
17;aaa;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;0;0;Айзенберг А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;841101300680
18;aaaa;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;0;0;Айзенберг А.А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;841101300680
19;user1;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Иванова О.Г.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;841101300680
20;user2;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Иванова О.И.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;841101300680
21;user3;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;0;0;Иванова О.А.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;841101300680
24;test1;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Главный бухгалтер;+7777777772;email2@gmail.com;2016-01-02;Имя;Фамилия;Отчество;0;841101300680
25;lengard;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Ленгард И.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Ирина;Ленгард;;0;841101300680
26;makarov;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Макаров А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Александр;Макаров;;0;841101300680
27;borodin;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Бородин Д.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Денис;Бородин;;0;841101300680
28;sautov;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Саутов Д.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Даниял;Саутов;;0;841101300680
29;kaibar;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Турежанов К.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Кайбар;Турежанов;;0;841101300680
30;alena;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Зарецкая А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Алёна;Зарецкая;;0;841101300680
34;k;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Должность 21;+7777777772;email2@gmail.com;2016-01-02;?????;?????;?????;0;841101300680
35;kk;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам С.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;?????;?????;?????;0;841101300680
36;kkk;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам М.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;?????;?????;?????;0;841101300680
37;y;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фадеева И.А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Яна;Фадеева;?????;0;841101300680
38;yy;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Яна И.А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Яна;Фадеева;?????;0;841101300680
39;yyy;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Яна И.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Яна;Фадеева;?????;0;841101300680
40;v;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Вальдемар И.A.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Вальдемар;?????;?????;0;841101300680
41;vv;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Вальдемар И.H.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Вальдемар;?????;?????;0;841101300680
42;vvv;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Вальдемар И.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Вальдемар;?????;?????;0;841101300680
43;aibek;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Айбек И.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Айбек;?????;?????;0;841101300680
44;anara;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Должность 22;+7777777772;email2@gmail.com;2016-01-02;Имя;Фамилия;Отчество;0;841101300680
45;sergey;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Должность 23;+7777777772;email2@gmail.com;2016-01-02;Имя;Фамилия;Отчество;0;841101300680
46;user4;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Омаров А.А. ;Должность 2;+7777777772;email2@gmail.com;2017-06-16;Алихан;Омаров;Арсенович;0;841101300680
49;qqq;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Должность 24;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;841101300680
50;m;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Корчак М.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;841101300680
51;mm;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Корчак М.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;841101300680
52;mmm;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Корчак М.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;841101300680
