is_deleted;account_id;balance_date;closing_available_balance;closing_balance;closing_balance_national;credit_turn_over;credit_turn_over_national;currency;debet_turn_over;debet_turn_over_national;opening_balance;opening_balance_national;rate
0;KZ75125KZT2069100100;2015-06-16;52;52;52;4;4;KZT;null;null;48;48;1
0;KZ75125KZT2069100100;2015-06-17;138;138;138;86;86;KZT;null;null;52;52;1
0;KZ75125KZT2069100100;2015-06-18;214;214;214;76;76;KZT;null;null;138;138;1
0;KZ75125KZT2069100100;2015-06-19;129;129;129;null;null;KZT;85;85;214;214;1
0;KZ75125KZT2069100100;2015-06-20;56;56;56;null;null;KZT;73;73;129;129;1
0;KZ75125KZT2069100100;2015-06-21;92;92;92;36;36;KZT;null;null;56;56;1
0;KZ75125KZT2069100100;2015-06-22;43;43;43;null;null;KZT;49;49;92;92;1
0;KZ75125KZT2069100100;2015-06-23;-28;-28;-28;null;null;KZT;71;71;43;43;1
0;KZ75125KZT2069100100;2015-06-24;-21;-21;-21;7;7;KZT;null;null;-28;-28;1
0;KZ75125KZT2069100100;2015-06-25;-13;-13;-13;8;8;KZT;null;null;-21;-21;1
0;KZ75125KZT2069100100;2015-06-26;-25;-25;-25;null;null;KZT;12;12;-13;-13;1
0;KZ75125KZT2069100100;2015-06-27;-66;-66;-66;null;null;KZT;41;41;-25;-25;1
0;KZ75125KZT2069100100;2015-06-28;-98;-98;-98;null;null;KZT;32;32;-66;-66;1
0;KZ75125KZT2069100100;2015-06-29;-148;-148;-148;null;null;KZT;50;50;-98;-98;1
0;KZ75125KZT2069100100;2015-06-30;-51;-51;-51;97;97;KZT;null;null;-148;-148;1
0;KZ75125KZT2069100100;2015-07-01;-9;-9;-9;42;42;KZT;null;null;-51;-51;1
0;KZ75125KZT2069100100;2015-07-02;-94;-94;-94;null;null;KZT;85;85;-9;-9;1
0;KZ75125KZT2069100100;2015-07-03;-36;-36;-36;58;58;KZT;null;null;-94;-94;1
0;KZ75125KZT2069100100;2015-07-04;-8;-8;-8;28;28;KZT;null;null;-36;-36;1
0;KZ75125KZT2069100100;2015-07-05;89;89;89;97;97;KZT;null;null;-8;-8;1
0;KZ75125KZT2069100100;2015-07-06;67;67;67;null;null;KZT;22;22;89;89;1
0;KZ75125KZT2069100100;2015-07-07;4;4;4;null;null;KZT;63;63;67;67;1
0;KZ75125KZT2069100100;2015-07-08;-43;-43;-43;null;null;KZT;47;47;4;4;1
0;KZ75125KZT2069100100;2015-07-09;-142;-142;-142;null;null;KZT;99;99;-43;-43;1
0;KZ75125KZT2069100100;2015-07-10;-201;-201;-201;null;null;KZT;59;59;-142;-142;1
0;KZ75125KZT2069100100;2015-07-11;-158;-158;-158;43;43;KZT;null;null;-201;-201;1
0;KZ75125KZT2069100100;2015-07-12;-171;-171;-171;null;null;KZT;13;13;-158;-158;1
0;KZ75125KZT2069100100;2015-07-13;-260;-260;-260;null;null;KZT;89;89;-171;-171;1
0;KZ75125KZT2069100100;2015-07-14;-340;-340;-340;null;null;KZT;80;80;-260;-260;1
0;KZ75125KZT2069100100;2015-07-15;-422;-422;-422;null;null;KZT;82;82;-340;-340;1
0;KZ75125KZT2069100100;2015-07-16;-517;-517;-517;null;null;KZT;95;95;-422;-422;1
0;KZ75125KZT2069100100;2015-07-17;-569;-569;-569;null;null;KZT;52;52;-517;-517;1
0;KZ75125KZT2069100100;2015-07-18;-521;-521;-521;48;48;KZT;null;null;-569;-569;1
0;KZ75125KZT2069100100;2015-07-19;-612;-612;-612;null;null;KZT;91;91;-521;-521;1
0;KZ75125KZT2069100100;2015-07-20;-647;-647;-647;null;null;KZT;35;35;-612;-612;1
0;KZ75125KZT2069100100;2015-07-21;-744;-744;-744;null;null;KZT;97;97;-647;-647;1
0;KZ75125KZT2069100100;2015-07-22;-664;-664;-664;80;80;KZT;null;null;-744;-744;1
0;KZ75125KZT2069100100;2015-07-23;-699;-699;-699;null;null;KZT;35;35;-664;-664;1
0;KZ75125KZT2069100100;2015-07-24;-679;-679;-679;20;20;KZT;null;null;-699;-699;1
0;KZ75125KZT2069100100;2015-07-25;-593;-593;-593;86;86;KZT;null;null;-679;-679;1
0;KZ75125KZT2069100100;2015-07-26;-534;-534;-534;59;59;KZT;null;null;-593;-593;1
0;KZ75125KZT2069100100;2015-07-27;-515;-515;-515;19;19;KZT;null;null;-534;-534;1
0;KZ75125KZT2069100100;2015-07-28;-446;-446;-446;69;69;KZT;null;null;-515;-515;1
0;KZ75125KZT2069100100;2015-07-29;-397;-397;-397;49;49;KZT;null;null;-446;-446;1
0;KZ75125KZT2069100100;2015-07-30;-397;-397;-397;null;null;KZT;0;0;-397;-397;1
0;KZ75125KZT2069100100;2015-07-31;-445;-445;-445;null;null;KZT;48;48;-397;-397;1
0;KZ75125KZT2069100100;2015-08-01;-422;-422;-422;23;23;KZT;null;null;-445;-445;1
0;KZ75125KZT2069100100;2015-08-02;-416;-416;-416;6;6;KZT;null;null;-422;-422;1
0;KZ75125KZT2069100100;2015-08-03;-387;-387;-387;29;29;KZT;null;null;-416;-416;1
0;KZ75125KZT2069100100;2015-08-04;-436;-436;-436;null;null;KZT;49;49;-387;-387;1
0;KZ75125KZT2069100100;2015-08-05;-388;-388;-388;48;48;KZT;null;null;-436;-436;1
0;KZ75125KZT2069100100;2015-08-06;-330;-330;-330;58;58;KZT;null;null;-388;-388;1
0;KZ75125KZT2069100100;2015-08-07;-262;-262;-262;68;68;KZT;null;null;-330;-330;1
0;KZ75125KZT2069100100;2015-08-08;-224;-224;-224;38;38;KZT;null;null;-262;-262;1
0;KZ75125KZT2069100100;2015-08-09;-236;-236;-236;null;null;KZT;12;12;-224;-224;1
0;KZ75125KZT2069100100;2015-08-10;-227;-227;-227;9;9;KZT;null;null;-236;-236;1
0;KZ75125KZT2069100100;2015-08-11;-256;-256;-256;null;null;KZT;29;29;-227;-227;1
0;KZ75125KZT2069100100;2015-08-12;-254;-254;-254;2;2;KZT;null;null;-256;-256;1
0;KZ75125KZT2069100100;2015-08-13;-352;-352;-352;null;null;KZT;98;98;-254;-254;1
0;KZ75125KZT2069100100;2015-08-14;-294;-294;-294;58;58;KZT;null;null;-352;-352;1
0;KZ75125KZT2069100100;2015-08-15;-290;-290;-290;4;4;KZT;null;null;-294;-294;1
0;KZ75125KZT2069100100;2015-08-16;-337;-337;-337;null;null;KZT;47;47;-290;-290;1
0;KZ75125KZT2069100100;2015-08-17;-401;-401;-401;null;null;KZT;64;64;-337;-337;1
0;KZ75125KZT2069100100;2015-08-18;-458;-458;-458;null;null;KZT;57;57;-401;-401;1
0;KZ75125KZT2069100100;2015-08-19;-416;-416;-416;42;42;KZT;null;null;-458;-458;1
0;KZ75125KZT2069100100;2015-08-20;-471;-471;-471;null;null;KZT;55;55;-416;-416;1
0;KZ75125KZT2069100100;2015-08-21;-521;-521;-521;null;null;KZT;50;50;-471;-471;1
0;KZ75125KZT2069100100;2015-08-22;-479;-479;-479;42;42;KZT;null;null;-521;-521;1
0;KZ75125KZT2069100100;2015-08-23;-430;-430;-430;49;49;KZT;null;null;-479;-479;1
0;KZ75125KZT2069100100;2015-08-24;-367;-367;-367;63;63;KZT;null;null;-430;-430;1
0;KZ75125KZT2069100100;2015-08-25;-446;-446;-446;null;null;KZT;79;79;-367;-367;1
0;KZ75125KZT2069100100;2015-08-26;-539;-539;-539;null;null;KZT;93;93;-446;-446;1
0;KZ75125KZT2069100100;2015-08-27;-557;-557;-557;null;null;KZT;18;18;-539;-539;1
0;KZ75125KZT2069100100;2015-08-28;-464;-464;-464;93;93;KZT;null;null;-557;-557;1
0;KZ75125KZT2069100100;2015-08-29;-560;-560;-560;null;null;KZT;96;96;-464;-464;1
0;KZ75125KZT2069100100;2015-08-30;-488;-488;-488;72;72;KZT;null;null;-560;-560;1
0;KZ75125KZT2069100100;2015-08-31;-508;-508;-508;null;null;KZT;20;20;-488;-488;1
0;KZ75125KZT2069100100;2015-09-01;-593;-593;-593;null;null;KZT;85;85;-508;-508;1
0;KZ75125KZT2069100100;2015-09-02;-522;-522;-522;71;71;KZT;null;null;-593;-593;1
0;KZ75125KZT2069100100;2015-09-03;-466;-466;-466;56;56;KZT;null;null;-522;-522;1
0;KZ75125KZT2069100100;2015-09-04;-480;-480;-480;null;null;KZT;14;14;-466;-466;1
0;KZ75125KZT2069100100;2015-09-05;-558;-558;-558;null;null;KZT;78;78;-480;-480;1
0;KZ75125KZT2069100100;2015-09-06;-648;-648;-648;null;null;KZT;90;90;-558;-558;1
0;KZ75125KZT2069100100;2015-09-07;-580;-580;-580;68;68;KZT;null;null;-648;-648;1
0;KZ75125KZT2069100100;2015-09-08;-485;-485;-485;95;95;KZT;null;null;-580;-580;1
0;KZ75125KZT2069100100;2015-09-09;-576;-576;-576;null;null;KZT;91;91;-485;-485;1
0;KZ75125KZT2069100100;2015-09-10;-672;-672;-672;null;null;KZT;96;96;-576;-576;1
0;KZ75125KZT2069100100;2015-09-11;-610;-610;-610;62;62;KZT;null;null;-672;-672;1
0;KZ75125KZT2069100100;2015-09-12;-667;-667;-667;null;null;KZT;57;57;-610;-610;1
0;KZ75125KZT2069100100;2015-09-13;-662;-662;-662;5;5;KZT;null;null;-667;-667;1
0;KZ75125KZT2069100100;2015-09-14;-644;-644;-644;18;18;KZT;null;null;-662;-662;1
0;KZ75125KZT2069100100;2015-09-15;-554;-554;-554;90;90;KZT;null;null;-644;-644;1
0;KZ75125KZT2069100100;2015-09-16;-594;-594;-594;null;null;KZT;40;40;-554;-554;1
0;KZ75125KZT2069100100;2015-09-17;-691;-691;-691;null;null;KZT;97;97;-594;-594;1
0;KZ75125KZT2069100100;2015-09-18;-630;-630;-630;61;61;KZT;null;null;-691;-691;1
0;KZ75125KZT2069100100;2015-09-19;-591;-591;-591;39;39;KZT;null;null;-630;-630;1
0;KZ75125KZT2069100100;2015-09-20;-685;-685;-685;null;null;KZT;94;94;-591;-591;1
0;KZ75125KZT2069100100;2015-09-21;-669;-669;-669;16;16;KZT;null;null;-685;-685;1
0;KZ75125KZT2069100100;2015-09-22;-717;-717;-717;null;null;KZT;48;48;-669;-669;1
0;KZ75125KZT2069100100;2015-09-23;-676;-676;-676;41;41;KZT;null;null;-717;-717;1
0;KZ75125KZT2069100100;2015-09-24;-714;-714;-714;null;null;KZT;38;38;-676;-676;1
0;KZ75125KZT2069100100;2015-09-25;-795;-795;-795;null;null;KZT;81;81;-714;-714;1
0;KZ75125KZT2069100100;2015-09-26;-704;-704;-704;91;91;KZT;null;null;-795;-795;1
0;KZ75125KZT2069100100;2015-09-27;-675;-675;-675;29;29;KZT;null;null;-704;-704;1
0;KZ75125KZT2069100100;2015-09-28;-667;-667;-667;8;8;KZT;null;null;-675;-675;1
0;KZ75125KZT2069100100;2015-09-29;-599;-599;-599;68;68;KZT;null;null;-667;-667;1
0;KZ75125KZT2069100100;2015-09-30;-698;-698;-698;null;null;KZT;99;99;-599;-599;1
0;KZ75125KZT2069100100;2015-10-01;-704;-704;-704;null;null;KZT;6;6;-698;-698;1
0;KZ75125KZT2069100100;2015-10-02;-724;-724;-724;null;null;KZT;20;20;-704;-704;1
0;KZ75125KZT2069100100;2015-10-03;-709;-709;-709;15;15;KZT;null;null;-724;-724;1
0;KZ75125KZT2069100100;2015-10-04;-786;-786;-786;null;null;KZT;77;77;-709;-709;1
0;KZ75125KZT2069100100;2015-10-05;-861;-861;-861;null;null;KZT;75;75;-786;-786;1
0;KZ75125KZT2069100100;2015-10-06;-836;-836;-836;25;25;KZT;null;null;-861;-861;1
0;KZ75125KZT2069100100;2015-10-07;-842;-842;-842;null;null;KZT;6;6;-836;-836;1
0;KZ75125KZT2069100100;2015-10-08;-886;-886;-886;null;null;KZT;44;44;-842;-842;1
0;KZ75125KZT2069100100;2015-10-09;-918;-918;-918;null;null;KZT;32;32;-886;-886;1
0;KZ75125KZT2069100100;2015-10-10;-1006;-1006;-1006;null;null;KZT;88;88;-918;-918;1
0;KZ75125KZT2069100100;2015-10-11;-966;-966;-966;40;40;KZT;null;null;-1006;-1006;1
0;KZ75125KZT2069100100;2015-10-12;-1020;-1020;-1020;null;null;KZT;54;54;-966;-966;1
0;KZ75125KZT2069100100;2015-10-13;-990;-990;-990;30;30;KZT;null;null;-1020;-1020;1
0;KZ75125KZT2069100100;2015-10-14;-934;-934;-934;56;56;KZT;null;null;-990;-990;1
0;KZ75125KZT2069100100;2015-10-15;-934;-934;-934;null;null;KZT;0;0;-934;-934;1
0;KZ75125KZT2069100100;2015-10-16;-944;-944;-944;null;null;KZT;10;10;-934;-934;1
0;KZ75125KZT2069100100;2015-10-17;-874;-874;-874;70;70;KZT;null;null;-944;-944;1
0;KZ75125KZT2069100100;2015-10-18;-824;-824;-824;50;50;KZT;null;null;-874;-874;1
0;KZ75125KZT2069100100;2015-10-19;-821;-821;-821;3;3;KZT;null;null;-824;-824;1
0;KZ75125KZT2069100100;2015-10-20;-752;-752;-752;69;69;KZT;null;null;-821;-821;1
0;KZ75125KZT2069100100;2015-10-21;-689;-689;-689;63;63;KZT;null;null;-752;-752;1
0;KZ75125KZT2069100100;2015-10-22;-623;-623;-623;66;66;KZT;null;null;-689;-689;1
0;KZ75125KZT2069100100;2015-10-23;-658;-658;-658;null;null;KZT;35;35;-623;-623;1
0;KZ75125KZT2069100100;2015-10-24;-580;-580;-580;78;78;KZT;null;null;-658;-658;1
0;KZ75125KZT2069100100;2015-10-25;-658;-658;-658;null;null;KZT;78;78;-580;-580;1
0;KZ75125KZT2069100100;2015-10-26;-690;-690;-690;null;null;KZT;32;32;-658;-658;1
0;KZ75125KZT2069100100;2015-10-27;-615;-615;-615;75;75;KZT;null;null;-690;-690;1
0;KZ75125KZT2069100100;2015-10-28;-665;-665;-665;null;null;KZT;50;50;-615;-615;1
0;KZ75125KZT2069100100;2015-10-29;-616;-616;-616;49;49;KZT;null;null;-665;-665;1
0;KZ75125KZT2069100100;2015-10-30;-582;-582;-582;34;34;KZT;null;null;-616;-616;1
0;KZ75125KZT2069100100;2015-10-31;-672;-672;-672;null;null;KZT;90;90;-582;-582;1
0;KZ75125KZT2069100100;2015-11-01;-666;-666;-666;6;6;KZT;null;null;-672;-672;1
0;KZ75125KZT2069100100;2015-11-02;-705;-705;-705;null;null;KZT;39;39;-666;-666;1
0;KZ75125KZT2069100100;2015-11-03;-706;-706;-706;null;null;KZT;1;1;-705;-705;1
0;KZ75125KZT2069100100;2015-11-04;-629;-629;-629;77;77;KZT;null;null;-706;-706;1
0;KZ75125KZT2069100100;2015-11-05;-572;-572;-572;57;57;KZT;null;null;-629;-629;1
0;KZ75125KZT2069100100;2015-11-06;-516;-516;-516;56;56;KZT;null;null;-572;-572;1
0;KZ75125KZT2069100100;2015-11-07;-557;-557;-557;null;null;KZT;41;41;-516;-516;1
0;KZ75125KZT2069100100;2015-11-08;-538;-538;-538;19;19;KZT;null;null;-557;-557;1
0;KZ75125KZT2069100100;2015-11-09;-509;-509;-509;29;29;KZT;null;null;-538;-538;1
0;KZ75125KZT2069100100;2015-11-10;-426;-426;-426;83;83;KZT;null;null;-509;-509;1
0;KZ75125KZT2069100100;2015-11-11;-356;-356;-356;70;70;KZT;null;null;-426;-426;1
0;KZ75125KZT2069100100;2015-11-12;-405;-405;-405;null;null;KZT;49;49;-356;-356;1
0;KZ75125KZT2069100100;2015-11-13;-503;-503;-503;null;null;KZT;98;98;-405;-405;1
0;KZ75125KZT2069100100;2015-11-14;-597;-597;-597;null;null;KZT;94;94;-503;-503;1
0;KZ75125KZT2069100100;2015-11-15;-636;-636;-636;null;null;KZT;39;39;-597;-597;1
0;KZ75125KZT2069100100;2015-11-16;-577;-577;-577;59;59;KZT;null;null;-636;-636;1
0;KZ75125KZT2069100100;2015-11-17;-638;-638;-638;null;null;KZT;61;61;-577;-577;1
0;KZ75125KZT2069100100;2015-11-18;-541;-541;-541;97;97;KZT;null;null;-638;-638;1
0;KZ75125KZT2069100100;2015-11-19;-463;-463;-463;78;78;KZT;null;null;-541;-541;1
0;KZ75125KZT2069100100;2015-11-20;-488;-488;-488;null;null;KZT;25;25;-463;-463;1
0;KZ75125KZT2069100100;2015-11-21;-537;-537;-537;null;null;KZT;49;49;-488;-488;1
0;KZ75125KZT2069100100;2015-11-22;-440;-440;-440;97;97;KZT;null;null;-537;-537;1
0;KZ75125KZT2069100100;2015-11-23;-397;-397;-397;43;43;KZT;null;null;-440;-440;1
0;KZ75125KZT2069100100;2015-11-24;-360;-360;-360;37;37;KZT;null;null;-397;-397;1
0;KZ75125KZT2069100100;2015-11-25;-456;-456;-456;null;null;KZT;96;96;-360;-360;1
0;KZ75125KZT2069100100;2015-11-26;-528;-528;-528;null;null;KZT;72;72;-456;-456;1
0;KZ75125KZT2069100100;2015-11-27;-471;-471;-471;57;57;KZT;null;null;-528;-528;1
0;KZ75125KZT2069100100;2015-11-28;-552;-552;-552;null;null;KZT;81;81;-471;-471;1
0;KZ75125KZT2069100100;2015-11-29;-465;-465;-465;87;87;KZT;null;null;-552;-552;1
0;KZ75125KZT2069100100;2015-11-30;-456;-456;-456;9;9;KZT;null;null;-465;-465;1
0;KZ75125KZT2069100100;2015-12-01;-403;-403;-403;53;53;KZT;null;null;-456;-456;1
0;KZ75125KZT2069100100;2015-12-02;-333;-333;-333;70;70;KZT;null;null;-403;-403;1
0;KZ75125KZT2069100100;2015-12-03;-295;-295;-295;38;38;KZT;null;null;-333;-333;1
0;KZ75125KZT2069100100;2015-12-04;-320;-320;-320;null;null;KZT;25;25;-295;-295;1
0;KZ75125KZT2069100100;2015-12-05;-279;-279;-279;41;41;KZT;null;null;-320;-320;1
0;KZ75125KZT2069100100;2015-12-06;-272;-272;-272;7;7;KZT;null;null;-279;-279;1
0;KZ75125KZT2069100100;2015-12-07;-247;-247;-247;25;25;KZT;null;null;-272;-272;1
0;KZ75125KZT2069100100;2015-12-08;-176;-176;-176;71;71;KZT;null;null;-247;-247;1
0;KZ75125KZT2069100100;2015-12-09;-105;-105;-105;71;71;KZT;null;null;-176;-176;1
0;KZ75125KZT2069100100;2015-12-10;-96;-96;-96;9;9;KZT;null;null;-105;-105;1
0;KZ75125KZT2069100100;2015-12-11;-31;-31;-31;65;65;KZT;null;null;-96;-96;1
0;KZ75125KZT2069100100;2015-12-12;39;39;39;70;70;KZT;null;null;-31;-31;1
0;KZ75125KZT2069100100;2015-12-13;2;2;2;null;null;KZT;37;37;39;39;1
0;KZ75125KZT2069100100;2015-12-14;-22;-22;-22;null;null;KZT;24;24;2;2;1
0;KZ75125KZT2069100100;2015-12-15;11;11;11;33;33;KZT;null;null;-22;-22;1
0;KZ75125KZT2069100100;2015-12-16;-75;-75;-75;null;null;KZT;86;86;11;11;1
0;KZ75125KZT2069100100;2015-12-17;-157;-157;-157;null;null;KZT;82;82;-75;-75;1
0;KZ75125KZT2069100100;2015-12-18;-85;-85;-85;72;72;KZT;null;null;-157;-157;1
0;KZ75125KZT2069100100;2015-12-19;-162;-162;-162;null;null;KZT;77;77;-85;-85;1
0;KZ75125KZT2069100100;2015-12-20;-255;-255;-255;null;null;KZT;93;93;-162;-162;1
0;KZ75125KZT2069100100;2015-12-21;-270;-270;-270;null;null;KZT;15;15;-255;-255;1
0;KZ75125KZT2069100100;2015-12-22;-286;-286;-286;null;null;KZT;16;16;-270;-270;1
0;KZ75125KZT2069100100;2015-12-23;-192;-192;-192;94;94;KZT;null;null;-286;-286;1
0;KZ75125KZT2069100100;2015-12-24;-120;-120;-120;72;72;KZT;null;null;-192;-192;1
0;KZ75125KZT2069100100;2015-12-25;-39;-39;-39;81;81;KZT;null;null;-120;-120;1
0;KZ75125KZT2069100100;2015-12-26;-91;-91;-91;null;null;KZT;52;52;-39;-39;1
0;KZ75125KZT2069100100;2015-12-27;-102;-102;-102;null;null;KZT;11;11;-91;-91;1
0;KZ75125KZT2069100100;2015-12-28;-12;-12;-12;90;90;KZT;null;null;-102;-102;1
0;KZ75125KZT2069100100;2015-12-29;-88;-88;-88;null;null;KZT;76;76;-12;-12;1
0;KZ75125KZT2069100100;2015-12-30;-87;-87;-87;1;1;KZT;null;null;-88;-88;1
0;KZ75125KZT2069100100;2015-12-31;-153;-153;-153;null;null;KZT;66;66;-87;-87;1
0;KZ75125KZT2069100100;2016-01-01;-213;-213;-213;null;null;KZT;60;60;-153;-153;1
0;KZ75125KZT2069100100;2016-01-02;-158;-158;-158;55;55;KZT;null;null;-213;-213;1
0;KZ75125KZT2069100100;2016-01-03;-251;-251;-251;null;null;KZT;93;93;-158;-158;1
0;KZ75125KZT2069100100;2016-01-04;-178;-178;-178;73;73;KZT;null;null;-251;-251;1
0;KZ75125KZT2069100100;2016-01-05;-162;-162;-162;16;16;KZT;null;null;-178;-178;1
0;KZ75125KZT2069100100;2016-01-06;-114;-114;-114;48;48;KZT;null;null;-162;-162;1
0;KZ75125KZT2069100100;2016-01-07;-22;-22;-22;92;92;KZT;null;null;-114;-114;1
0;KZ75125KZT2069100100;2016-01-08;-57;-57;-57;null;null;KZT;35;35;-22;-22;1
0;KZ75125KZT2069100100;2016-01-09;10;10;10;67;67;KZT;null;null;-57;-57;1
0;KZ75125KZT2069100100;2016-01-10;96;96;96;86;86;KZT;null;null;10;10;1
0;KZ75125KZT2069100100;2016-01-11;-3;-3;-3;null;null;KZT;99;99;96;96;1
0;KZ75125KZT2069100100;2016-01-12;-56;-56;-56;null;null;KZT;53;53;-3;-3;1
0;KZ75125KZT2069100100;2016-01-13;-62;-62;-62;null;null;KZT;6;6;-56;-56;1
0;KZ75125KZT2069100100;2016-01-14;-52;-52;-52;10;10;KZT;null;null;-62;-62;1
0;KZ75125KZT2069100100;2016-01-15;-123;-123;-123;null;null;KZT;71;71;-52;-52;1
0;KZ75125KZT2069100100;2016-01-16;-62;-62;-62;61;61;KZT;null;null;-123;-123;1
0;KZ75125KZT2069100100;2016-01-17;-69;-69;-69;null;null;KZT;7;7;-62;-62;1
0;KZ75125KZT2069100100;2016-01-18;-37;-37;-37;32;32;KZT;null;null;-69;-69;1
0;KZ75125KZT2069100100;2016-01-19;36;36;36;73;73;KZT;null;null;-37;-37;1
0;KZ75125KZT2069100100;2016-01-20;82;82;82;46;46;KZT;null;null;36;36;1
0;KZ75125KZT2069100100;2016-01-21;2;2;2;null;null;KZT;80;80;82;82;1
0;KZ75125KZT2069100100;2016-01-22;-97;-97;-97;null;null;KZT;99;99;2;2;1
0;KZ75125KZT2069100100;2016-01-23;-28;-28;-28;69;69;KZT;null;null;-97;-97;1
0;KZ75125KZT2069100100;2016-01-24;-101;-101;-101;null;null;KZT;73;73;-28;-28;1
0;KZ75125KZT2069100100;2016-01-25;-107;-107;-107;null;null;KZT;6;6;-101;-101;1
0;KZ75125KZT2069100100;2016-01-26;-73;-73;-73;34;34;KZT;null;null;-107;-107;1
0;KZ75125KZT2069100100;2016-01-27;-110;-110;-110;null;null;KZT;37;37;-73;-73;1
0;KZ75125KZT2069100100;2016-01-28;-52;-52;-52;58;58;KZT;null;null;-110;-110;1
0;KZ75125KZT2069100100;2016-01-29;-6;-6;-6;46;46;KZT;null;null;-52;-52;1
0;KZ75125KZT2069100100;2016-01-30;69;69;69;75;75;KZT;null;null;-6;-6;1
0;KZ75125KZT2069100100;2016-01-31;93;93;93;24;24;KZT;null;null;69;69;1
0;KZ75125KZT2069100100;2016-02-01;149;149;149;56;56;KZT;null;null;93;93;1
0;KZ75125KZT2069100100;2016-02-02;209;209;209;60;60;KZT;null;null;149;149;1
0;KZ75125KZT2069100100;2016-02-03;186;186;186;null;null;KZT;23;23;209;209;1
0;KZ75125KZT2069100100;2016-02-04;115;115;115;null;null;KZT;71;71;186;186;1
0;KZ75125KZT2069100100;2016-02-05;198;198;198;83;83;KZT;null;null;115;115;1
0;KZ75125KZT2069100100;2016-02-06;223;223;223;25;25;KZT;null;null;198;198;1
0;KZ75125KZT2069100100;2016-02-07;291;291;291;68;68;KZT;null;null;223;223;1
0;KZ75125KZT2069100100;2016-02-08;227;227;227;null;null;KZT;64;64;291;291;1
