id_1;customer_id;account_number;currency;account_type;alias;is_visible;bank_branch_id;balance;planned_balance;updated;arrested_amount;block_reason;display_order;default_alias;status;closed
18;Ахметов Асылхан Ералиевич;KZ75125EUR2069100117;EUR;Credit;успешный старт;1;11;0.0;0.0;2016-10-11 11:15:01;0;;18;успешный старт;Closed;2017-02-23
19;Ахметов Асылхан Ералиевич;KZ75125KZT2069100118;KZT;Credit;успешный старт;1;11;45000.00;45000.00;2016-01-12 22:44:13;0;;19;успешный старт;Active;null
20;Ахметов Асылхан Ералиевич;KZ75125EUR2069100119;EUR;Credit;успешный старт;1;11;15000.0;15000.0;2016-10-11 11:15:01;0;;20;успешный старт;Active;null
21;Ахметов Асылхан Ералиевич;KZ75125KZT2069100120;KZT;Credit;успешный старт;0;11;0.0;0.0;2016-01-12 22:44:13;0;;21;успешный старт;Closed;2016-03-15
22;Ахметов Асылхан Ералиевич;KZ75125EUR2069100121;EUR;Credit;успешный старт;0;11;0.0;0.0;2016-10-11 11:15:01;0;;22;успешный старт;Closed;2016-11-01
23;Ахметов Асылхан Ералиевич;KZ75125EUR2069100122;EUR;Credit;успешный старт;0;11;1000000.0;1000000.0;2016-10-11 11:15:01;0;;23;успешный старт;Active;null
24;Ахметов Асылхан Ералиевич;KZ75125EUR2069100123;EUR;Credit;успешный старт;0;11;1750000.00;1750000.00;2016-10-11 11:15:01;0;;24;успешный старт;Active;null
25;Ахметов Асылхан Ералиевич;KZ75125EUR2069100124;EUR;Credit;успешный старт;0;11;750000.00;750000.00;2016-10-11 11:15:01;0;;25;успешный старт;Active;null
26;Ахметов Асылхан Ералиевич;KZ75125EUR2069100125;EUR;Credit;успешный старт;0;11;400000.0;400000.0;2016-10-11 11:15:01;0;;26;успешный старт;Active;null
27;Жауатова Сара Исмаиловна;KZ75125USD2069100221;USD;Current;Бизнес-счет online;0;11;0.0;0.0;2016-10-11 11:15:01;0;;27;успешный старт;Closed;2016-12-22
28;Жауатова Сара Исмаиловна;KZ75125EUR2069100222;EUR;Current;Эскроу-счет;0;11;1000000.0;1000000.0;2016-10-11 11:15:01;0;;28;успешный старт;Active;null
29;Ахметов Асылхан Ералиевич;KZ75125USD2069100223;USD;Current;Бизнес пакет Лайт;0;11;1750000.00;1750000.00;2016-10-11 11:15:01;0;;29;успешный старт;Active;null
30;Ахметов Асылхан Ералиевич;KZ75125EUR2069100224;EUR;Current;Бизнес пакет Оптимальный;0;11;750000.00;750000.00;2016-10-11 11:15:01;0;;30;успешный старт;Active;null
31;Жауатова Сара Исмаиловна;KZ75125USD2069100225;USD;Current;Бизнес пакет Максимум;0;11;400000.0;400000.0;2016-10-11 11:15:01;0;;31;успешный старт;Active;null
32;Таванов Турлан Ахметкалиевич;KZ75125KZT2069100215;KZT;Current;Бизнес-счет online;1;11;750000.00;750000.00;2016-10-11 11:15:01;32;Решение суда;45;успешный старт;Blocked;null
33;Таванов Турлан Ахметкалиевич;KZ75125USD2069100216;USD;Current;Эскроу-счет;1;11;1000000.00;1000000.00;2016-10-11 11:15:01;0;;33;успешный старт;Active;null
34;Ахметов Асылхан Ералиевич;KZ75125EUR2069100217;EUR;Current;Бизнес пакет Лайт;1;11;0.0;0.0;2016-10-11 11:15:01;0;;37;успешный старт;Closed;2016-12-12
35;Ахметов Асылхан Ералиевич;KZ75125USD2069100218;USD;Current;Бизнес пакет Оптимальный;1;11;45000.00;45000.00;2016-01-12 22:44:13;0;;35;успешный старт;Active;null
36;Таванов Турлан Ахметкалиевич;KZ75125EUR2069100219;EUR;Current;Бизнес пакет Максимум;1;11;15000.0;15000.0;2016-10-11 11:15:01;0;;36;успешный старт;Active;null



37;Омаров Алихан Арсенович;KZ75125KZT2069101100;KZT;Current;Мой счет online;1;11;12323.12;3.12;2016-10-12 13:44:01;0;;37;Корпоративный Старт;Active;null
38;Омаров Алихан Арсенович;KZ75125USD2069101101;USD;Current;Мой счет online;1;11;1432384.32;4.32;2016-10-11 11:15:01;0;;38;Корпоративный Старт;Active;null
39;Ахметов Асылхан Ералиевич;KZ75125USD2069101102;USD;Card;Корпоративный Макси;1;11;49834.34;49834.34;2016-10-11 11:15:01;0;;39;Корпоративный Макси;Active;null
40;Жауатова Сара Исмаиловна;KZ75125EUR2069101103;EUR;Credit;Бизнес-кредит;1;11;0.0;0.0;2016-10-11 11:15:01;0;;40;Бизнес-кредит;Closed;2017-02-23
41;Омаров Алихан Арсенович;KZ75125EUR2069101121;EUR;Credit;успешный старт;0;11;0.0;0.0;2016-10-11 11:15:01;0;;41;успешный старт;Closed;2017-02-23
42;Омаров Алихан Арсенович;KZ75125KZT2069101107;KZT;Card;Корпоративный Макси;0;11;0.0;0.0;2016-10-11 11:15:01;0;;42;Корпоративный Макси;Closed;2017-02-23
43;Омаров Алихан Арсенович;KZ75125KZT2069101108;KZT;Deposit;с пополнением;0;11;0.0;0.0;2016-10-11 11:15:01;0;;43;с пополнением;Closed;2017-02-23
44;Омаров Алихан Арсенович;KZ75125USD2069101109;USD;Deposit;накопительный;0;11;222222.0;111.0;2016-10-11 11:15:01;0;;44;накопительный;Active;2017-02-23
45;Омаров Алихан Арсенович;KZ75125USD2069101103;USD;Current;Мой счет online;1;11;777555.22;5.22;2016-10-11 11:15:01;0;;38;Корпоративный Старт;Active;null
46;Омаров Алихан Арсенович;KZ75125KZT2069101104;KZT;Current;Мой счет online;1;11;154789.77;9.77;2016-10-11 11:15:01;0;;38;Корпоративный Старт;Active;null
47;Омаров Алихан Арсенович;KZ75125EUR2069101105;EUR;Current;Мой счет online;1;11;54884.78;4.78;2016-10-11 11:15:01;0;;38;Корпоративный Старт;Active;null
48;Омаров Алихан Арсенович;KZ75125EUR2069101106;EUR;Current;Мой счет online;1;11;878484.65;4.65;2016-10-11 11:15:01;0;;5;Корпоративный Старт;Active;null
49;Омаров Алихан Арсенович;KZ75125KZT2069101999;KZT;Current;Мой счет online;1;11;1000;10;2016-10-11 11:15:01;0;;6;Корпоративный Старт;Active;2018-05-23
50;Омаров Алихан Арсенович;KZ75125USD2069101108;USD;Current;Мой счет online;1;11;20000;null;2016-10-11 11:15:01;0;;38;Корпоративный Старт;Active;2018-05-23
51;Омаров Алихан Арсенович;KZ75125RUB2069101110;RUB;Current;Мой счет online;1;11;20000;null;2016-10-11 11:15:01;0;;38;Корпоративный Старт;Active;2017-05-23

52;Омаров Алихан Арсенович;KZ75125KZT2069102107;KZT;Current;Мой счет online;1;11;0.0;null;2016-10-11 11:15:01;0;;103;Корпоративный Старт;Closed;2018-05-23
53;Омаров Алихан Арсенович;KZ75125USD2069102108;USD;Current;Мой счет online;1;11;0.0;null;2016-10-11 11:15:01;0;;102;Корпоративный Старт;Closed;2018-05-23
54;Омаров Алихан Арсенович;KZ75125RUB2069102110;RUB;Current;Мой счет online;1;11;0.0;null;2016-10-11 11:15:01;0;;101;Корпоративный Старт;Closed;2017-05-23
55;Омаров Алихан Арсенович;KZ75125EUR2069102106;EUR;Current;Мой счет online;1;11;0.0;null;2016-10-11 11:15:01;0;;100;Корпоративный Старт;Closed;2017-05-23
