id_1;login;user_password;salt;is_deleted;is_locked;short_name;user_position;phone;email;password_expiry;first_name;last_name;middle_name;is_force_password_change;iin;is_sms_required
12;oks;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;1;0;Иванова О.К.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;;1
13;lex2;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;1;0;Грант У.С.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;;1
14;lex3;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;1;0;Грант У.В.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;;1
15;lex4;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;1;0;Грант У.А.;Должность 6;+77777777776;email6@gmail.com;2016-01-02;Улисс;Грант;;0;;1
16;aa;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;1;0;Айзенберг А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;;1
17;aaa;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;1;0;Айзенберг А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;;1
18;aaaa;VzDzU2d3MHZr+TilJW6Oz7wHUmtj5F1dL9KkSfrpzZFFKUHdeu8hARv19nTCOQYbpCwQL3/BGfzrxn1ytYgj1g==;nYsgPwDMeWRj3Pxu/dXqAg==;1;0;Айзенберг А.А.;Должность 7;+77015557788;email7@gmail.com;2016-01-02;Андрей;Айзенберг;?????;0;;1
19;oks1;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;1;0;Иванова О.Г.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;;1
20;oks2;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;1;0;Иванова О.И.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;;1
21;oks3;s60U2N02cAiRnP/TxZqub0wxdPtZVkWKxlvp/09O3ffFn4mE/V5AbW/q6d/F3yaJqCtCcB1pFox1Tumlq9IX8A==;PMx64ZGx/+8Wrz3nhRQ6Pw==;1;0;Иванова О.А.;Должность 10;+77017778899;email8@gmail.com;2016-01-02;Оксана;Иванова;?????;0;;1
24;test1;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Фам И.О.;Главный бухгалтер;+7777777772;email2@gmail.com;2016-01-02;Имя;Фамилия;Отчество;0;;1
25;lengard;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Ленгард И.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Ирина;Ленгард;;0;791011400676;1
26;makarov;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Макаров А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Александр;Макаров;;0;821119301118;1
27;borodin;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Бородин Д.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Денис;Бородин;;0;791028302728;1
28;sautov;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Саутов Д.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Даниял;Саутов;;0;090312553125;1
29;kaibar;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Турежанов К.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Кайбар;Турежанов;;0;760720302830;1
30;alena;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Зарецкая А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Алёна;Зарецкая;;0;680121450185;1
34;k;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Фам И.О.;Должность 21;+7777777772;email2@gmail.com;2016-01-02;?????;?????;?????;0;;1
35;kk;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Фам С.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;?????;?????;?????;0;;1
36;kkk;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Фам М.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;?????;?????;?????;0;;1
37;y;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Фадеева И.А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Яна;Фадеева;?????;0;;1
38;yy;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Яна И.А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Яна;Фадеева;?????;0;;1
39;yyy;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Яна И.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Яна;Фадеева;?????;0;;1
40;v;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Вальдемар И.A.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Вальдемар;?????;?????;0;;1
41;vv;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Вальдемар И.H.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Вальдемар;?????;?????;0;;1
42;vvv;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Вальдемар И.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Вальдемар;?????;?????;0;;1
43;aibek;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Айбек И.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Айбек;?????;?????;0;;1
44;anara;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Фам И.О.;Должность 22;+7777777772;email2@gmail.com;2016-01-02;Имя;Фамилия;Отчество;0;;1
45;sergey;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Фам И.О.;Должность 23;+7777777772;email2@gmail.com;2016-01-02;Имя;Фамилия;Отчество;0;;1
46;77081338567;UehkPvScYBE3Fbziok6lYyitagXYieuqgqmxjaE6oEfrysdIwuEbjb4qZjRQXHC/y7yqi1CDuJvB2KsxIPpcFQ==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Омаров А.А. ;Должность 2;+77081338567;email2@gmail.com;2017-08-25;Алихан;Омаров;Арсенович;0;;1
49;qqq;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Фам И.О.;Должность 24;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;;1
50;m;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Корчак М.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;;1
51;mm;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Корчак М.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;;1
52;mmm;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;1;0;Корчак М.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;;1
