id_1;is_deleted;account_id;balance_date;closing_available_balance;closing_balance;closing_balance_national;credit_turn_over;credit_turn_over_national;currency;debet_turn_over;debet_turn_over_national;opening_balance;opening_balance_national;rate
84;0;KZ75125KZT2069100100;2015-08-02;-416;-416;-416;6;6;KZT;null;null;-422;-422;1
85;0;KZ75125KZT2069100100;2015-08-03;-387;-387;-387;29;29;KZT;null;null;-416;-416;1
86;0;KZ75125KZT2069100100;2015-08-04;-436;-436;-436;null;null;KZT;49;49;-387;-387;1
87;0;KZ75125KZT2069100100;2015-08-05;-388;-388;-388;48;48;KZT;null;null;-436;-436;1
88;0;KZ75125KZT2069100100;2015-08-06;-330;-330;-330;58;58;KZT;null;null;-388;-388;1
89;0;KZ75125KZT2069100100;2015-08-07;-262;-262;-262;68;68;KZT;null;null;-330;-330;1
90;0;KZ75125KZT2069100100;2015-08-08;-224;-224;-224;38;38;KZT;null;null;-262;-262;1
91;0;KZ75125KZT2069100100;2015-08-09;-236;-236;-236;null;null;KZT;12;12;-224;-224;1
92;0;KZ75125KZT2069100100;2015-08-10;-227;-227;-227;9;9;KZT;null;null;-236;-236;1
93;0;KZ75125KZT2069100100;2015-08-11;-256;-256;-256;null;null;KZT;29;29;-227;-227;1
94;0;KZ75125KZT2069100100;2015-08-12;-254;-254;-254;2;2;KZT;null;null;-256;-256;1
95;0;KZ75125KZT2069100100;2015-08-13;-352;-352;-352;null;null;KZT;98;98;-254;-254;1
96;0;KZ75125KZT2069100100;2015-08-14;-294;-294;-294;58;58;KZT;null;null;-352;-352;1
97;0;KZ75125KZT2069100100;2015-08-15;-290;-290;-290;4;4;KZT;null;null;-294;-294;1
98;0;KZ75125KZT2069100100;2015-08-16;-337;-337;-337;null;null;KZT;47;47;-290;-290;1
99;0;KZ75125KZT2069100100;2015-08-17;-401;-401;-401;null;null;KZT;64;64;-337;-337;1
100;0;KZ75125KZT2069100100;2015-08-18;-458;-458;-458;null;null;KZT;57;57;-401;-401;1
101;0;KZ75125KZT2069100100;2015-08-19;-416;-416;-416;42;42;KZT;null;null;-458;-458;1
102;0;KZ75125KZT2069100100;2015-08-20;-471;-471;-471;null;null;KZT;55;55;-416;-416;1
103;0;KZ75125KZT2069100100;2015-08-21;-521;-521;-521;null;null;KZT;50;50;-471;-471;1
104;0;KZ75125KZT2069100100;2015-08-22;-479;-479;-479;42;42;KZT;null;null;-521;-521;1
105;0;KZ75125KZT2069100100;2015-08-23;-430;-430;-430;49;49;KZT;null;null;-479;-479;1
106;0;KZ75125KZT2069100100;2015-08-24;-367;-367;-367;63;63;KZT;null;null;-430;-430;1
107;0;KZ75125KZT2069100100;2015-08-25;-446;-446;-446;null;null;KZT;79;79;-367;-367;1
108;0;KZ75125KZT2069100100;2015-08-26;-539;-539;-539;null;null;KZT;93;93;-446;-446;1
109;0;KZ75125KZT2069100100;2015-08-27;-557;-557;-557;null;null;KZT;18;18;-539;-539;1
110;0;KZ75125KZT2069100100;2015-08-28;-464;-464;-464;93;93;KZT;null;null;-557;-557;1
111;0;KZ75125KZT2069100100;2015-08-29;-560;-560;-560;null;null;KZT;96;96;-464;-464;1
112;0;KZ75125KZT2069100100;2015-08-30;-488;-488;-488;72;72;KZT;null;null;-560;-560;1
113;0;KZ75125KZT2069100100;2015-08-31;-508;-508;-508;null;null;KZT;20;20;-488;-488;1
114;0;KZ75125KZT2069100100;2015-09-01;-593;-593;-593;null;null;KZT;85;85;-508;-508;1
115;0;KZ75125KZT2069100100;2015-09-02;-522;-522;-522;71;71;KZT;null;null;-593;-593;1
116;0;KZ75125KZT2069100100;2015-09-03;-466;-466;-466;56;56;KZT;null;null;-522;-522;1
117;0;KZ75125KZT2069100100;2015-09-04;-480;-480;-480;null;null;KZT;14;14;-466;-466;1
118;0;KZ75125KZT2069100100;2015-09-05;-558;-558;-558;null;null;KZT;78;78;-480;-480;1
119;0;KZ75125KZT2069100100;2015-09-06;-648;-648;-648;null;null;KZT;90;90;-558;-558;1
120;0;KZ75125KZT2069100100;2015-09-07;-580;-580;-580;68;68;KZT;null;null;-648;-648;1
121;0;KZ75125KZT2069100100;2015-09-08;-485;-485;-485;95;95;KZT;null;null;-580;-580;1
122;0;KZ75125KZT2069100100;2015-09-09;-576;-576;-576;null;null;KZT;91;91;-485;-485;1
123;0;KZ75125KZT2069100100;2015-09-10;-672;-672;-672;null;null;KZT;96;96;-576;-576;1
124;0;KZ75125KZT2069100100;2015-09-11;-610;-610;-610;62;62;KZT;null;null;-672;-672;1
125;0;KZ75125KZT2069100100;2015-09-12;-667;-667;-667;null;null;KZT;57;57;-610;-610;1
126;0;KZ75125KZT2069100100;2015-09-13;-662;-662;-662;5;5;KZT;null;null;-667;-667;1
127;0;KZ75125KZT2069100100;2015-09-14;-644;-644;-644;18;18;KZT;null;null;-662;-662;1
128;0;KZ75125KZT2069100100;2015-09-15;-554;-554;-554;90;90;KZT;null;null;-644;-644;1
129;0;KZ75125KZT2069100100;2015-09-16;-594;-594;-594;null;null;KZT;40;40;-554;-554;1
130;0;KZ75125KZT2069100100;2015-09-17;-691;-691;-691;null;null;KZT;97;97;-594;-594;1
131;0;KZ75125KZT2069100100;2015-09-18;-630;-630;-630;61;61;KZT;null;null;-691;-691;1
132;0;KZ75125KZT2069100100;2015-09-19;-591;-591;-591;39;39;KZT;null;null;-630;-630;1
133;0;KZ75125KZT2069100100;2015-09-20;-685;-685;-685;null;null;KZT;94;94;-591;-591;1
134;0;KZ75125KZT2069100100;2015-09-21;-669;-669;-669;16;16;KZT;null;null;-685;-685;1
135;0;KZ75125KZT2069100100;2015-09-22;-717;-717;-717;null;null;KZT;48;48;-669;-669;1
136;0;KZ75125KZT2069100100;2015-09-23;-676;-676;-676;41;41;KZT;null;null;-717;-717;1
137;0;KZ75125KZT2069100100;2015-09-24;-714;-714;-714;null;null;KZT;38;38;-676;-676;1
138;0;KZ75125KZT2069100100;2015-09-25;-795;-795;-795;null;null;KZT;81;81;-714;-714;1
139;0;KZ75125KZT2069100100;2015-09-26;-704;-704;-704;91;91;KZT;null;null;-795;-795;1
140;0;KZ75125KZT2069100100;2015-09-27;-675;-675;-675;29;29;KZT;null;null;-704;-704;1
141;0;KZ75125KZT2069100100;2015-09-28;-667;-667;-667;8;8;KZT;null;null;-675;-675;1
142;0;KZ75125KZT2069100100;2015-09-29;-599;-599;-599;68;68;KZT;null;null;-667;-667;1
143;0;KZ75125KZT2069100100;2015-09-30;-698;-698;-698;null;null;KZT;99;99;-599;-599;1
144;0;KZ75125KZT2069100100;2015-10-01;-704;-704;-704;null;null;KZT;6;6;-698;-698;1
145;0;KZ75125KZT2069100100;2015-10-02;-724;-724;-724;null;null;KZT;20;20;-704;-704;1
146;0;KZ75125KZT2069100100;2015-10-03;-709;-709;-709;15;15;KZT;null;null;-724;-724;1
147;0;KZ75125KZT2069100100;2015-10-04;-786;-786;-786;null;null;KZT;77;77;-709;-709;1
148;0;KZ75125KZT2069100100;2015-10-05;-861;-861;-861;null;null;KZT;75;75;-786;-786;1
149;0;KZ75125KZT2069100100;2015-10-06;-836;-836;-836;25;25;KZT;null;null;-861;-861;1
150;0;KZ75125KZT2069100100;2015-10-07;-842;-842;-842;null;null;KZT;6;6;-836;-836;1
151;0;KZ75125KZT2069100100;2015-10-08;-886;-886;-886;null;null;KZT;44;44;-842;-842;1
152;0;KZ75125KZT2069100100;2015-10-09;-918;-918;-918;null;null;KZT;32;32;-886;-886;1
153;0;KZ75125KZT2069100100;2015-10-10;-1006;-1006;-1006;null;null;KZT;88;88;-918;-918;1
154;0;KZ75125KZT2069100100;2015-10-11;-966;-966;-966;40;40;KZT;null;null;-1006;-1006;1
155;0;KZ75125KZT2069100100;2015-10-12;-1020;-1020;-1020;null;null;KZT;54;54;-966;-966;1
156;0;KZ75125KZT2069100100;2015-10-13;-990;-990;-990;30;30;KZT;null;null;-1020;-1020;1
157;0;KZ75125KZT2069100100;2015-10-14;-934;-934;-934;56;56;KZT;null;null;-990;-990;1
158;0;KZ75125KZT2069100100;2015-10-15;-934;-934;-934;null;null;KZT;0;0;-934;-934;1
159;0;KZ75125KZT2069100100;2015-10-16;-944;-944;-944;null;null;KZT;10;10;-934;-934;1
160;0;KZ75125KZT2069100100;2015-10-17;-874;-874;-874;70;70;KZT;null;null;-944;-944;1
161;0;KZ75125KZT2069100100;2015-10-18;-824;-824;-824;50;50;KZT;null;null;-874;-874;1
162;0;KZ75125KZT2069100100;2015-10-19;-821;-821;-821;3;3;KZT;null;null;-824;-824;1
163;0;KZ75125KZT2069100100;2015-10-20;-752;-752;-752;69;69;KZT;null;null;-821;-821;1
164;0;KZ75125KZT2069100100;2015-10-21;-689;-689;-689;63;63;KZT;null;null;-752;-752;1
165;0;KZ75125KZT2069100100;2015-10-22;-623;-623;-623;66;66;KZT;null;null;-689;-689;1
166;0;KZ75125KZT2069100100;2015-10-23;-658;-658;-658;null;null;KZT;35;35;-623;-623;1
167;0;KZ75125KZT2069100100;2015-10-24;-580;-580;-580;78;78;KZT;null;null;-658;-658;1
168;0;KZ75125KZT2069100100;2015-10-25;-658;-658;-658;null;null;KZT;78;78;-580;-580;1
169;0;KZ75125KZT2069100100;2015-10-26;-690;-690;-690;null;null;KZT;32;32;-658;-658;1
170;0;KZ75125KZT2069100100;2015-10-27;-615;-615;-615;75;75;KZT;null;null;-690;-690;1
171;0;KZ75125KZT2069100100;2015-10-28;-665;-665;-665;null;null;KZT;50;50;-615;-615;1
172;0;KZ75125KZT2069100100;2015-10-29;-616;-616;-616;49;49;KZT;null;null;-665;-665;1
173;0;KZ75125KZT2069100100;2015-10-30;-582;-582;-582;34;34;KZT;null;null;-616;-616;1
174;0;KZ75125KZT2069100100;2015-10-31;-672;-672;-672;null;null;KZT;90;90;-582;-582;1
175;0;KZ75125KZT2069100100;2015-11-01;-666;-666;-666;6;6;KZT;null;null;-672;-672;1
176;0;KZ75125KZT2069100100;2015-11-02;-705;-705;-705;null;null;KZT;39;39;-666;-666;1
177;0;KZ75125KZT2069100100;2015-11-03;-706;-706;-706;null;null;KZT;1;1;-705;-705;1
178;0;KZ75125KZT2069100100;2015-11-04;-629;-629;-629;77;77;KZT;null;null;-706;-706;1
179;0;KZ75125KZT2069100100;2015-11-05;-572;-572;-572;57;57;KZT;null;null;-629;-629;1
180;0;KZ75125KZT2069100100;2015-11-06;-516;-516;-516;56;56;KZT;null;null;-572;-572;1
181;0;KZ75125KZT2069100100;2015-11-07;-557;-557;-557;null;null;KZT;41;41;-516;-516;1
182;0;KZ75125KZT2069100100;2015-11-08;-538;-538;-538;19;19;KZT;null;null;-557;-557;1
183;0;KZ75125KZT2069100100;2015-11-09;-509;-509;-509;29;29;KZT;null;null;-538;-538;1
184;0;KZ75125KZT2069100100;2015-11-10;-426;-426;-426;83;83;KZT;null;null;-509;-509;1
185;0;KZ75125KZT2069100100;2015-11-11;-356;-356;-356;70;70;KZT;null;null;-426;-426;1
186;0;KZ75125KZT2069100100;2015-11-12;-405;-405;-405;null;null;KZT;49;49;-356;-356;1
187;0;KZ75125KZT2069100100;2015-11-13;-503;-503;-503;null;null;KZT;98;98;-405;-405;1
188;0;KZ75125KZT2069100100;2015-11-14;-597;-597;-597;null;null;KZT;94;94;-503;-503;1
189;0;KZ75125KZT2069100100;2015-11-15;-636;-636;-636;null;null;KZT;39;39;-597;-597;1
190;0;KZ75125KZT2069100100;2015-11-16;-577;-577;-577;59;59;KZT;null;null;-636;-636;1
191;0;KZ75125KZT2069100100;2015-11-17;-638;-638;-638;null;null;KZT;61;61;-577;-577;1
192;0;KZ75125KZT2069100100;2015-11-18;-541;-541;-541;97;97;KZT;null;null;-638;-638;1
193;0;KZ75125KZT2069100100;2015-11-19;-463;-463;-463;78;78;KZT;null;null;-541;-541;1
194;0;KZ75125KZT2069100100;2015-11-20;-488;-488;-488;null;null;KZT;25;25;-463;-463;1
195;0;KZ75125KZT2069100100;2015-11-21;-537;-537;-537;null;null;KZT;49;49;-488;-488;1
196;0;KZ75125KZT2069100100;2015-11-22;-440;-440;-440;97;97;KZT;null;null;-537;-537;1
197;0;KZ75125KZT2069100100;2015-11-23;-397;-397;-397;43;43;KZT;null;null;-440;-440;1
198;0;KZ75125KZT2069100100;2015-11-24;-360;-360;-360;37;37;KZT;null;null;-397;-397;1
199;0;KZ75125KZT2069100100;2015-11-25;-456;-456;-456;null;null;KZT;96;96;-360;-360;1
200;0;KZ75125KZT2069100100;2015-11-26;-528;-528;-528;null;null;KZT;72;72;-456;-456;1
201;0;KZ75125KZT2069100100;2015-11-27;-471;-471;-471;57;57;KZT;null;null;-528;-528;1
202;0;KZ75125KZT2069100100;2015-11-28;-552;-552;-552;null;null;KZT;81;81;-471;-471;1
203;0;KZ75125KZT2069100100;2015-11-29;-465;-465;-465;87;87;KZT;null;null;-552;-552;1
204;0;KZ75125KZT2069100100;2015-11-30;-456;-456;-456;9;9;KZT;null;null;-465;-465;1
205;0;KZ75125KZT2069100100;2015-12-01;-403;-403;-403;53;53;KZT;null;null;-456;-456;1
206;0;KZ75125KZT2069100100;2015-12-02;-333;-333;-333;70;70;KZT;null;null;-403;-403;1
207;0;KZ75125KZT2069100100;2015-12-03;-295;-295;-295;38;38;KZT;null;null;-333;-333;1
208;0;KZ75125KZT2069100100;2015-12-04;-320;-320;-320;null;null;KZT;25;25;-295;-295;1
209;0;KZ75125KZT2069100100;2015-12-05;-279;-279;-279;41;41;KZT;null;null;-320;-320;1
210;0;KZ75125KZT2069100100;2015-12-06;-272;-272;-272;7;7;KZT;null;null;-279;-279;1
211;0;KZ75125KZT2069100100;2015-12-07;-247;-247;-247;25;25;KZT;null;null;-272;-272;1
212;0;KZ75125KZT2069100100;2015-12-08;-176;-176;-176;71;71;KZT;null;null;-247;-247;1
213;0;KZ75125KZT2069100100;2015-12-09;-105;-105;-105;71;71;KZT;null;null;-176;-176;1
214;0;KZ75125KZT2069100100;2015-12-10;-96;-96;-96;9;9;KZT;null;null;-105;-105;1
215;0;KZ75125KZT2069100100;2015-12-11;-31;-31;-31;65;65;KZT;null;null;-96;-96;1
216;0;KZ75125KZT2069100100;2015-12-12;39;39;39;70;70;KZT;null;null;-31;-31;1
217;0;KZ75125KZT2069100100;2015-12-13;2;2;2;null;null;KZT;37;37;39;39;1
218;0;KZ75125KZT2069100100;2015-12-14;-22;-22;-22;null;null;KZT;24;24;2;2;1
219;0;KZ75125KZT2069100100;2015-12-15;11;11;11;33;33;KZT;null;null;-22;-22;1
220;0;KZ75125KZT2069100100;2015-12-16;-75;-75;-75;null;null;KZT;86;86;11;11;1
221;0;KZ75125KZT2069100100;2015-12-17;-157;-157;-157;null;null;KZT;82;82;-75;-75;1
222;0;KZ75125KZT2069100100;2015-12-18;-85;-85;-85;72;72;KZT;null;null;-157;-157;1
223;0;KZ75125KZT2069100100;2015-12-19;-162;-162;-162;null;null;KZT;77;77;-85;-85;1
224;0;KZ75125KZT2069100100;2015-12-20;-255;-255;-255;null;null;KZT;93;93;-162;-162;1
225;0;KZ75125KZT2069100100;2015-12-21;-270;-270;-270;null;null;KZT;15;15;-255;-255;1
226;0;KZ75125KZT2069100100;2015-12-22;-286;-286;-286;null;null;KZT;16;16;-270;-270;1
227;0;KZ75125KZT2069100100;2015-12-23;-192;-192;-192;94;94;KZT;null;null;-286;-286;1
228;0;KZ75125KZT2069100100;2015-12-24;-120;-120;-120;72;72;KZT;null;null;-192;-192;1
229;0;KZ75125KZT2069100100;2015-12-25;-39;-39;-39;81;81;KZT;null;null;-120;-120;1
230;0;KZ75125KZT2069100100;2015-12-26;-91;-91;-91;null;null;KZT;52;52;-39;-39;1
231;0;KZ75125KZT2069100100;2015-12-27;-102;-102;-102;null;null;KZT;11;11;-91;-91;1
232;0;KZ75125KZT2069100100;2015-12-28;-12;-12;-12;90;90;KZT;null;null;-102;-102;1
233;0;KZ75125KZT2069100100;2015-12-29;-88;-88;-88;null;null;KZT;76;76;-12;-12;1
234;0;KZ75125KZT2069100100;2015-12-30;-87;-87;-87;1;1;KZT;null;null;-88;-88;1
235;0;KZ75125KZT2069100100;2015-12-31;-153;-153;-153;null;null;KZT;66;66;-87;-87;1
236;0;KZ75125KZT2069100100;2016-01-01;-213;-213;-213;null;null;KZT;60;60;-153;-153;1
237;0;KZ75125KZT2069100100;2016-01-02;-158;-158;-158;55;55;KZT;null;null;-213;-213;1
238;0;KZ75125KZT2069100100;2016-01-03;-251;-251;-251;null;null;KZT;93;93;-158;-158;1
239;0;KZ75125KZT2069100100;2016-01-04;-178;-178;-178;73;73;KZT;null;null;-251;-251;1
240;0;KZ75125KZT2069100100;2016-01-05;-162;-162;-162;16;16;KZT;null;null;-178;-178;1
241;0;KZ75125KZT2069100100;2016-01-06;-114;-114;-114;48;48;KZT;null;null;-162;-162;1
242;0;KZ75125KZT2069100100;2016-01-07;-22;-22;-22;92;92;KZT;null;null;-114;-114;1
243;0;KZ75125KZT2069100100;2016-01-08;-57;-57;-57;null;null;KZT;35;35;-22;-22;1
244;0;KZ75125KZT2069100100;2016-01-09;10;10;10;67;67;KZT;null;null;-57;-57;1
245;0;KZ75125KZT2069100100;2016-01-10;96;96;96;86;86;KZT;null;null;10;10;1
246;0;KZ75125KZT2069100100;2016-01-11;-3;-3;-3;null;null;KZT;99;99;96;96;1
247;0;KZ75125KZT2069100100;2016-01-12;-56;-56;-56;null;null;KZT;53;53;-3;-3;1
248;0;KZ75125KZT2069100100;2016-01-13;-62;-62;-62;null;null;KZT;6;6;-56;-56;1
249;0;KZ75125KZT2069100100;2016-01-14;-52;-52;-52;10;10;KZT;null;null;-62;-62;1
250;0;KZ75125KZT2069100100;2016-01-15;-123;-123;-123;null;null;KZT;71;71;-52;-52;1
251;0;KZ75125KZT2069100100;2016-01-16;-62;-62;-62;61;61;KZT;null;null;-123;-123;1
252;0;KZ75125KZT2069100100;2016-01-17;-69;-69;-69;null;null;KZT;7;7;-62;-62;1
253;0;KZ75125KZT2069100100;2016-01-18;-37;-37;-37;32;32;KZT;null;null;-69;-69;1
254;0;KZ75125KZT2069100100;2016-01-19;36;36;36;73;73;KZT;null;null;-37;-37;1
255;0;KZ75125KZT2069100100;2016-01-20;82;82;82;46;46;KZT;null;null;36;36;1
256;0;KZ75125KZT2069100100;2016-01-21;2;2;2;null;null;KZT;80;80;82;82;1
257;0;KZ75125KZT2069100100;2016-01-22;-97;-97;-97;null;null;KZT;99;99;2;2;1
258;0;KZ75125KZT2069100100;2016-01-23;-28;-28;-28;69;69;KZT;null;null;-97;-97;1
259;0;KZ75125KZT2069100100;2016-01-24;-101;-101;-101;null;null;KZT;73;73;-28;-28;1
260;0;KZ75125KZT2069100100;2016-01-25;-107;-107;-107;null;null;KZT;6;6;-101;-101;1
261;0;KZ75125KZT2069100100;2016-01-26;-73;-73;-73;34;34;KZT;null;null;-107;-107;1
262;0;KZ75125KZT2069100100;2016-01-27;-110;-110;-110;null;null;KZT;37;37;-73;-73;1
