login;user_password;salt;is_deleted;is_locked;short_name;user_position;phone;email;password_expiry;first_name;last_name;middle_name;is_force_password_change;iin;lock_time
test1;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Главный бухгалтер;+7777777772;email2@gmail.com;2016-01-02;Имя;Фамилия;Отчество;0;;null
lengard;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Ленгард И.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Ирина;Ленгард;;0;791011400676;null
makarov;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Макаров А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Александр;Макаров;;0;821119301118;null
borodin;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Бородин Д.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Денис;Бородин;;0;791028302728;null
sautov;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Саутов Д.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Даниял;Саутов;;0;090312553125;null
kaibar;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Турежанов К.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Кайбар;Турежанов;;0;760720302830;null
alena;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Зарецкая А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Алёна;Зарецкая;;0;680121450185;null
k;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Должность 21;+7777777772;email2@gmail.com;2016-01-02;?????;?????;?????;0;;null
kk;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам С.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;?????;?????;?????;0;;null
kkk;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам М.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;?????;?????;?????;0;;null
y;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фадеева И.А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Яна;Фадеева;?????;0;;null
yy;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Яна И.А.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Яна;Фадеева;?????;0;;null
yyy;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Яна И.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Яна;Фадеева;?????;0;;null
v;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Вальдемар И.A.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Вальдемар;?????;?????;0;;null
vv;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Вальдемар И.H.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Вальдемар;?????;?????;0;;null
vvv;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Вальдемар И.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Вальдемар;?????;?????;0;;null
aibek;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Айбек И.О.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Айбек;?????;?????;0;;null
anara;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Должность 22;+7777777772;email2@gmail.com;2016-01-02;Имя;Фамилия;Отчество;0;;null
sergey;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Должность 23;+7777777772;email2@gmail.com;2016-01-02;Имя;Фамилия;Отчество;0;;null
77272581505;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Омаров А.А. ;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Алихан;Омаров;Арсенович;0;;null
qqq;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Фам И.О.;Должность 24;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;;null
m;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Корчак М.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;;null
mm;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Корчак М.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;;null
mmm;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Корчак М.;Должность 2;+7777777772;email2@gmail.com;2016-01-02;Михаил;Корчак;?????;0;;null
dnauruz;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Наурзов Д.Т.;Должность 2;+7777777772;email2@gmail.com;;Данияр;Наурзов;Тулегенович;0;790605301129;null
bzhaksyb;YSXhLYKUS4aVkcky77IKvq60oZBGbMeMJRO59drf6ec1ELMjKdEPTZ2PbHBViq/zEo+Lxmcnju2zcv0UG6ipJA==;6fcqQGtQjQY6SXlBQHKYJw==;0;0;Жақсыбаев Б.М.;Должность 2;+7777777772;email2@gmail.com;;Батырхан;Жақсыбаев;Маратұлы;0;780110301473;null
